question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
48,4-(4-hydroxyphenyl)butan-2-one,CC(=O)CCC1=CC=C(C=C1)O,"(E)-3,7,11,15-tetramethylhexadec-2-en-1-ol",CC(C)CCCC(C)CCCC(C)CCC/C(=C/CO)/C,"{CC(=O)CCC1=CC=C(C=C1)O;4-(4-hydroxyphenyl)butan-2-one};{CC(C)CCCC(C)CCCC(C)CCC/C(=C/CO)/C;(E)-3,7,11,15-tetramethylhexadec-2-en-1-ol}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(=O)CCC1=CC=C(C=C1)O or CC(C)CCCC(C)CCCC(C)CCC/C(=C/CO)/C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 4-(4-hydroxyphenyl)butan-2-one or (E)-3,7,11,15-tetramethylhexadec-2-en-1-ol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CC(=O)CCC1=CC=C(C=C1)O;4-(4-hydroxyphenyl)butan-2-one,SMILES_1 PLEASANTNESS=49.357142857;SMILES_2 PLEASANTNESS=27.395833333
49,octan-3-yl acetate,CCCCCC(CC)OC(=O)C,butanal,CCCC=O,{CCCCCC(CC)OC(=O)C;octan-3-yl acetate};{CCCC=O;butanal},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCC(CC)OC(=O)C or CCCC=O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: octan-3-yl acetate or butanal? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCC(CC)OC(=O)C;octan-3-yl acetate,SMILES_1 PLEASANTNESS=44.591836735;SMILES_2 PLEASANTNESS=18.270833333
50,hexan-2-one,CCCCC(=O)C,methylsulfonylmethane,CS(=O)(=O)C,{CCCCC(=O)C;hexan-2-one};{CS(=O)(=O)C;methylsulfonylmethane},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCC(=O)C or CS(=O)(=O)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: hexan-2-one or methylsulfonylmethane? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CS(=O)(=O)C;methylsulfonylmethane,SMILES_1 PLEASANTNESS=40.1875;SMILES_2 PLEASANTNESS=60.764705882
51,2-amino-3-phenylpropanoic acid,C1=CC=C(C=C1)CC(C(=O)O)N,5-butyl-4-methyloxolan-2-one,CCCCC1C(CC(=O)O1)C,{C1=CC=C(C=C1)CC(C(=O)O)N;2-amino-3-phenylpropanoic acid};{CCCCC1C(CC(=O)O1)C;5-butyl-4-methyloxolan-2-one},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C1=CC=C(C=C1)CC(C(=O)O)N or CCCCC1C(CC(=O)O1)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-amino-3-phenylpropanoic acid or 5-butyl-4-methyloxolan-2-one? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCC1C(CC(=O)O1)C;5-butyl-4-methyloxolan-2-one,SMILES_1 PLEASANTNESS=42.630434783;SMILES_2 PLEASANTNESS=68.791666667
52,3-aminopropanoic acid,C(CN)C(=O)O,hexyl benzoate,CCCCCCOC(=O)C1=CC=CC=C1,{C(CN)C(=O)O;3-aminopropanoic acid};{CCCCCCOC(=O)C1=CC=CC=C1;hexyl benzoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C(CN)C(=O)O or CCCCCCOC(=O)C1=CC=CC=C1? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 3-aminopropanoic acid or hexyl benzoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",C(CN)C(=O)O;3-aminopropanoic acid,SMILES_1 PLEASANTNESS=51.351351351;SMILES_2 PLEASANTNESS=34.164948454
53,"2-hydroxypropane-1,2,3-tricarboxylic acid",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2-methoxybenzaldehyde,COC1=CC=CC=C1C=O,"{C(C(=O)O)C(CC(=O)O)(C(=O)O)O;2-hydroxypropane-1,2,3-tricarboxylic acid};{COC1=CC=CC=C1C=O;2-methoxybenzaldehyde}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C(C(=O)O)C(CC(=O)O)(C(=O)O)O or COC1=CC=CC=C1C=O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-hydroxypropane-1,2,3-tricarboxylic acid or 2-methoxybenzaldehyde? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","C(C(=O)O)C(CC(=O)O)(C(=O)O)O;2-hydroxypropane-1,2,3-tricarboxylic acid",SMILES_1 PLEASANTNESS=53.038461538;SMILES_2 PLEASANTNESS=37.673684211
54,butan-1-amine,CCCCN,benzenethiol,C1=CC=C(C=C1)S,{CCCCN;butan-1-amine};{C1=CC=C(C=C1)S;benzenethiol},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCN or C1=CC=C(C=C1)S? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: butan-1-amine or benzenethiol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCN;butan-1-amine,SMILES_1 PLEASANTNESS=53.380952381;SMILES_2 PLEASANTNESS=26.088235294
55,"2,4,5-trimethyl-1,3-thiazole",CC1=C(SC(=N1)C)C,pentyl butanoate,CCCCCOC(=O)CCC,"{CC1=C(SC(=N1)C)C;2,4,5-trimethyl-1,3-thiazole};{CCCCCOC(=O)CCC;pentyl butanoate}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=C(SC(=N1)C)C or CCCCCOC(=O)CCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2,4,5-trimethyl-1,3-thiazole or pentyl butanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCOC(=O)CCC;pentyl butanoate,SMILES_1 PLEASANTNESS=33.479166667;SMILES_2 PLEASANTNESS=56.088888889
56,prop-2-enyl furan-2-carboxylate,C=CCOC(=O)C1=CC=CO1,"1,3-dimethoxybenzene",COC1=CC(=CC=C1)OC,"{C=CCOC(=O)C1=CC=CO1;prop-2-enyl furan-2-carboxylate};{COC1=CC(=CC=C1)OC;1,3-dimethoxybenzene}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C=CCOC(=O)C1=CC=CO1 or COC1=CC(=CC=C1)OC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: prop-2-enyl furan-2-carboxylate or 1,3-dimethoxybenzene? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","COC1=CC(=CC=C1)OC;1,3-dimethoxybenzene",SMILES_1 PLEASANTNESS=32.787234043;SMILES_2 PLEASANTNESS=50.0
57,1-methoxy-4-[(E)-prop-1-enyl]benzene,C/C=C/C1=CC=C(C=C1)OC,hexyl benzoate,CCCCCCOC(=O)C1=CC=CC=C1,{C/C=C/C1=CC=C(C=C1)OC;1-methoxy-4-[(E)-prop-1-enyl]benzene};{CCCCCCOC(=O)C1=CC=CC=C1;hexyl benzoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C/C=C/C1=CC=C(C=C1)OC or CCCCCCOC(=O)C1=CC=CC=C1? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 1-methoxy-4-[(E)-prop-1-enyl]benzene or hexyl benzoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",C/C=C/C1=CC=C(C=C1)OC;1-methoxy-4-[(E)-prop-1-enyl]benzene,SMILES_1 PLEASANTNESS=61.266666667;SMILES_2 PLEASANTNESS=34.164948454
58,acetic acid,CC(=O)O,2-methoxybenzaldehyde,COC1=CC=CC=C1C=O,{CC(=O)O;acetic acid};{COC1=CC=CC=C1C=O;2-methoxybenzaldehyde},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(=O)O or COC1=CC=CC=C1C=O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: acetic acid or 2-methoxybenzaldehyde? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CC(=O)O;acetic acid,SMILES_1 PLEASANTNESS=48.461538462;SMILES_2 PLEASANTNESS=37.673684211
59,2-methylpropan-1-ol,CC(C)CO,1-methoxy-4-[(E)-prop-1-enyl]benzene,C/C=C/C1=CC=C(C=C1)OC,{CC(C)CO;2-methylpropan-1-ol};{C/C=C/C1=CC=C(C=C1)OC;1-methoxy-4-[(E)-prop-1-enyl]benzene},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(C)CO or C/C=C/C1=CC=C(C=C1)OC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-methylpropan-1-ol or 1-methoxy-4-[(E)-prop-1-enyl]benzene? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",C/C=C/C1=CC=C(C=C1)OC;1-methoxy-4-[(E)-prop-1-enyl]benzene,SMILES_1 PLEASANTNESS=36.566666667;SMILES_2 PLEASANTNESS=61.266666667
60,benzenethiol,C1=CC=C(C=C1)S,"1,3-benzodioxol-5-ylmethyl 2-methylpropanoate",CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2,"{C1=CC=C(C=C1)S;benzenethiol};{CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2;1,3-benzodioxol-5-ylmethyl 2-methylpropanoate}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C1=CC=C(C=C1)S or CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: benzenethiol or 1,3-benzodioxol-5-ylmethyl 2-methylpropanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","CC(C)C(=O)OCC1=CC2=C(C=C1)OCO2;1,3-benzodioxol-5-ylmethyl 2-methylpropanoate",SMILES_1 PLEASANTNESS=26.088235294;SMILES_2 PLEASANTNESS=50.8
61,"(1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C,(methyltrisulfanyl)methane,CSSSC,"{C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C;(1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol};{CSSSC;(methyltrisulfanyl)methane}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C or CSSSC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: (1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol or (methyltrisulfanyl)methane? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","C[C@@H]1CC[C@H]([C@@H](C1)O)C(=C)C;(1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol",SMILES_1 PLEASANTNESS=54.673469388;SMILES_2 PLEASANTNESS=19.447916667
62,methyl 2-methylprop-2-enoate,CC(=C)C(=O)OC,"3,7-dimethylocta-1,6-dien-3-ol",CC(=CCCC(C)(C=C)O)C,"{CC(=C)C(=O)OC;methyl 2-methylprop-2-enoate};{CC(=CCCC(C)(C=C)O)C;3,7-dimethylocta-1,6-dien-3-ol}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(=C)C(=O)OC or CC(=CCCC(C)(C=C)O)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: methyl 2-methylprop-2-enoate or 3,7-dimethylocta-1,6-dien-3-ol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","CC(=CCCC(C)(C=C)O)C;3,7-dimethylocta-1,6-dien-3-ol",SMILES_1 PLEASANTNESS=40.175;SMILES_2 PLEASANTNESS=73.066666667
63,(2S)-butan-2-ol,CC[C@H](C)O,prop-2-enyl furan-2-carboxylate,C=CCOC(=O)C1=CC=CO1,{CC[C@H](C)O;(2S)-butan-2-ol};{C=CCOC(=O)C1=CC=CO1;prop-2-enyl furan-2-carboxylate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC[C@H](C)O or C=CCOC(=O)C1=CC=CO1? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: (2S)-butan-2-ol or prop-2-enyl furan-2-carboxylate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CC[C@H](C)O;(2S)-butan-2-ol,SMILES_1 PLEASANTNESS=51.0;SMILES_2 PLEASANTNESS=32.787234043
64,"2,3,5,6-tetramethylpyrazine",CC1=C(N=C(C(=N1)C)C)C,hexan-1-ol,CCCCCCO,"{CC1=C(N=C(C(=N1)C)C)C;2,3,5,6-tetramethylpyrazine};{CCCCCCO;hexan-1-ol}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=C(N=C(C(=N1)C)C)C or CCCCCCO? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2,3,5,6-tetramethylpyrazine or hexan-1-ol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCO;hexan-1-ol,SMILES_1 PLEASANTNESS=29.102040816;SMILES_2 PLEASANTNESS=60.15
65,5-hexyloxolan-2-one,CCCCCCC1CCC(=O)O1,prop-2-enyl butanoate,CCCC(=O)OCC=C,{CCCCCCC1CCC(=O)O1;5-hexyloxolan-2-one};{CCCC(=O)OCC=C;prop-2-enyl butanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCCC1CCC(=O)O1 or CCCC(=O)OCC=C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 5-hexyloxolan-2-one or prop-2-enyl butanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCC1CCC(=O)O1;5-hexyloxolan-2-one,SMILES_1 PLEASANTNESS=64.979166667;SMILES_2 PLEASANTNESS=24.224489796
66,prop-2-enyl furan-2-carboxylate,C=CCOC(=O)C1=CC=CO1,ethyl undecanoate,CCCCCCCCCCC(=O)OCC,{C=CCOC(=O)C1=CC=CO1;prop-2-enyl furan-2-carboxylate};{CCCCCCCCCCC(=O)OCC;ethyl undecanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C=CCOC(=O)C1=CC=CO1 or CCCCCCCCCCC(=O)OCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: prop-2-enyl furan-2-carboxylate or ethyl undecanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCCCCCC(=O)OCC;ethyl undecanoate,SMILES_1 PLEASANTNESS=32.787234043;SMILES_2 PLEASANTNESS=54.659574468
67,pentanal,CCCCC=O,1-phenylpropan-1-ol,CCC(C1=CC=CC=C1)O,{CCCCC=O;pentanal};{CCC(C1=CC=CC=C1)O;1-phenylpropan-1-ol},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCC=O or CCC(C1=CC=CC=C1)O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: pentanal or 1-phenylpropan-1-ol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCC(C1=CC=CC=C1)O;1-phenylpropan-1-ol,SMILES_1 PLEASANTNESS=42.3125;SMILES_2 PLEASANTNESS=54.583333333
68,"2,3-di(butanoyloxy)propyl butanoate",CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,prop-2-enyl 2-aminobenzoate,C=CCOC(=O)C1=CC=CC=C1N,"{CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC;2,3-di(butanoyloxy)propyl butanoate};{C=CCOC(=O)C1=CC=CC=C1N;prop-2-enyl 2-aminobenzoate}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC or C=CCOC(=O)C1=CC=CC=C1N? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2,3-di(butanoyloxy)propyl butanoate or prop-2-enyl 2-aminobenzoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",C=CCOC(=O)C1=CC=CC=C1N;prop-2-enyl 2-aminobenzoate,SMILES_1 PLEASANTNESS=22.804347826;SMILES_2 PLEASANTNESS=53.065217391
69,propan-2-yl tetradecanoate,CCCCCCCCCCCCCC(=O)OC(C)C,2-ethylphenol,CCC1=CC=CC=C1O,{CCCCCCCCCCCCCC(=O)OC(C)C;propan-2-yl tetradecanoate};{CCC1=CC=CC=C1O;2-ethylphenol},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCCCCCCCCCC(=O)OC(C)C or CCC1=CC=CC=C1O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: propan-2-yl tetradecanoate or 2-ethylphenol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCCCCCCCCC(=O)OC(C)C;propan-2-yl tetradecanoate,SMILES_1 PLEASANTNESS=46.185185185;SMILES_2 PLEASANTNESS=30.265306122
70,1-(5-methylfuran-2-yl)ethanone,CC1=CC=C(O1)C(=O)C,octan-2-one,CCCCCCC(=O)C,{CC1=CC=C(O1)C(=O)C;1-(5-methylfuran-2-yl)ethanone};{CCCCCCC(=O)C;octan-2-one},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=CC=C(O1)C(=O)C or CCCCCCC(=O)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 1-(5-methylfuran-2-yl)ethanone or octan-2-one? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCC(=O)C;octan-2-one,SMILES_1 PLEASANTNESS=34.958333333;SMILES_2 PLEASANTNESS=52.645833333
